Name	Score	0.95 MoE	p-value	FDR
MTRF1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
FOXO1_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
EXOSC8_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
CSNK1A1L_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
LINC00598_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
SUGT1P3_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
TSC22D1-AS1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
MRPS31_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
MIR320D1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
SERP2_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
CCDC122_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
LINC00332_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
TNFSF11_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
FAM216B_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
DGKH_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
STOML3_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
FREM2_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
MIR621_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
WBP4_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
NAA16_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
AKAP11_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
LACC1_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
SMAD9_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
LINC00366_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
PCDH9-AS2_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
TSC22D1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
LINC00571_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
LHFP_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
NHLRC3_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
FAM48A_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
PARP4_AMP	0.3249481033271888		0.0003614402407849168	0.14009661835748793
SNORA27_AMP	0.32494810332448265	0.054392531774995395	0.0003614402407849168	0.14009661835748793
SNORD102_AMP	0.32494810332448265		0.0003614402407849168	0.14009661835748793
USP12_AMP	0.32494810332448265		0.0003614402407849168	0.14009661835748793
RASL11A_AMP	0.32494810332448265		0.0003614402407849168	0.14009661835748793
RPL21_AMP	0.32494810332448265	0.054392531774995395	0.0003614402407849168	0.14009661835748793
GOLGA2B_MUT	0.32494810330416557	0.0264428447979054	0.0003680118815264607	0.14009661835748793
LETM1_MUT	0.3249481032886039	0.07914010884181508	0.00037458352226800467	0.14009661835748793
CDK8_AMP	0.3249481032868401		0.00037458352226800467	0.14009661835748793
LINC00398_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
MTMR6_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
ATP8A2_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
HMGB1_AMP	0.3249481032868401		0.00037458352226800467	0.14009661835748793
ALOX5AP_AMP	0.3249481032868401		0.00037458352226800467	0.14009661835748793
SLC7A1_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
SHISA2_AMP	0.3249481032868401		0.00037458352226800467	0.14009661835748793
KATNAL1_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
FAM123A_AMP	0.3249481032868401		0.00037458352226800467	0.14009661835748793
RNF6_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
TEX26-AS1_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
LOC440131_AMP	0.3249481032868401		0.00037458352226800467	0.14009661835748793
LINC00426_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
NUPL1_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
MTUS2-AS1_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
C13orf33_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
USPL1_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
UBL3_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
LINC00297_AMP	0.3249481032868401	0.054392531774995395	0.00037458352226800467	0.14009661835748793
GNPTAB_MUT	0.32494810328408236	0.092060256382258	0.00037458352226800467	0.14009661835748793
MIR1297_AMP	0.32494810327928664	0.04804635852845991	0.00037458352226800467	0.14009661835748793
RIN1_MUT	0.3249481032644594		0.0003811551630095486	0.14009661835748793
FRY_AMP	0.3243366179994804		0.0003811551630095486	0.14009661835748793
BAT2L1_MUT	0.32433661799308233		0.0003811551630095486	0.14009661835748793
MYO15B_MUT	0.3171879736685779		0.0007820252482437291	0.2564102564102564
MYH14_MUT	0.3166807069483451		0.0009331729852992397	0.2564102564102564
EIF4G1_MUT	0.31668070690113403		0.0009331729852992397	0.2564102564102564
ASXL1_MUT	0.31550420961423065		0.0012617550223764367	0.2564102564102564
MPHOSPH8_AMP	0.29801977290493464		0.0012683266631179806	0.2564102564102564
PSPC1_AMP	0.29801977290493464		0.0012683266631179806	0.2564102564102564
ZMYM2_AMP	0.29801977290493464		0.0012683266631179806	0.2564102564102564
TPTE2P6_AMP	0.29801977290436243		0.0012683266631179806	0.2564102564102564
RFC3_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
N4BP2L2_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
STARD13_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
LINC00423_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
ZAR1L_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
RNU6-76_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
KL_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
CG030_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
STARD13-AS2_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
PDS5B_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
MINOS1P1_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
