Name	Score	0.95 MoE	p-value	FDR
DTX2_MUT	0.3299586394808758	0.02838164624024698	6.571640741543941e-06	0.3333333333333333
CNTN5_MUT	0.2946409940174298	0.05635706959088433	2.6286562966175764e-05	0.3434650455927052
KIAA0913_MUT	0.29237838470032074	0.15424866523878186	3.9429844449263646e-05	0.3434650455927052
FLT3_MUT	0.2923783846797	0.13650291904080117	3.9429844449263646e-05	0.3434650455927052
CDH11_AMP	0.28611814160562116	0.26688328127739586	0.0002891521926279334	0.3434650455927052
LOC283867_AMP	0.28611814160562116	0.26688328127739586	0.0002891521926279334	0.3434650455927052
PARS2_MUT	0.2861181416035343	0.07298042289362759	0.0002891521926279334	0.3434650455927052
KCNK3_MUT	0.2861181415856799	0.06799117750259578	0.0002891521926279334	0.3434650455927052
FLVCR1_MUT	0.2861181415792291	0.011061936665471466	0.0002891521926279334	0.3434650455927052
EXOSC7_MUT	0.2861181415706806	0.14165820031460086	0.0002891521926279334	0.3434650455927052
NPAS2_MUT	0.2861181415696192	0.028665924897663647	0.0002891521926279334	0.3434650455927052
MSRB2_MUT	0.2861181415652556	0.09158809525002543	0.0002891521926279334	0.3434650455927052
ARIH2_MUT	0.286118141553228	0.15911475800607372	0.0003022954741110213	0.3434650455927052
PDXDC2P_AMP	0.2805707959535037	0.12029048439353121	0.00034172531856028495	0.3434650455927052
MIR1972-2_AMP	0.2805707959535037	0.12029048439353121	0.00034172531856028495	0.3434650455927052
MIR1972-1_AMP	0.2805707959535037	0.12029048439353121	0.00034172531856028495	0.3434650455927052
POLG_MUT	0.2805707959489933	0.17730834169658552	0.00034172531856028495	0.3434650455927052
SPP1_MUT	0.2805707959405813	0.10425010971122183	0.00034172531856028495	0.3434650455927052
ZFP106_MUT	0.28057079593789985	0.07656982736245552	0.00034172531856028495	0.3434650455927052
KEAP1.MC_MUT	0.2605343375568412	0.053222568078715296	0.0008083118112099047	0.3434650455927052
OPLAH_MUT	0.26053433753235256	0.082202507644208	0.0010777490816132065	0.3434650455927052
MLL3_MUT	0.25521779904017733	0.0755761824144619	0.0010843207223547504	0.3434650455927052
NPEPL1_MUT	0.2526608303524419	0.10524055077590692	0.0010908923630962943	0.3434650455927052
GRLF1_MUT	0.2526608303401019		0.0011040356445793822	0.3434650455927052
REREP3_AMP	0.252660830310516		0.0011697520519948215	0.3434650455927052
POP1_MUT	0.2514231544431823		0.0011763236927363654	0.3434650455927052
CEP97_MUT	0.2514231544315017		0.0011763236927363654	0.3434650455927052
PDXDC2_MUT	0.25142315442546365		0.0011828953334779093	0.3434650455927052
NIN_MUT	0.24759863021092615		0.0012026102557025412	0.3434650455927052
TBCD_MUT	0.24656780906545311		0.001222325177927173	0.3434650455927052
NCOA6_MUT	0.24656780903844902		0.0013077565075672443	0.3434650455927052
LRP1_MUT	0.24260417470131		0.0013143281483087882	0.3434650455927052
FN1_MUT	0.23667457182055052		0.0013866161964657716	0.3434650455927052
CELSR2_MUT	0.23667457180288357		0.0013866161964657716	0.3434650455927052
NAIP_MUT	0.2366745717999719		0.0013866161964657716	0.3434650455927052
AHDC1_MUT	0.23570408073951693		0.0013866161964657716	0.3434650455927052
AKAP12_MUT	0.2357040807051428		0.0015114773705551066	0.3434650455927052
KIAA0754_MUT	0.23570408068763835		0.0015180490112966505	0.3434650455927052
OBSCN_MUT	0.2345995526708844		0.0015246206520381945	0.3434650455927052
KIAA1958_MUT	0.23392082225709482		0.0015509072150043702	0.3434650455927052
PABPC4_MUT	0.23392082224529565		0.0015509072150043702	0.3434650455927052
NFATC4_MUT	0.23392082224529565		0.0015509072150043702	0.3434650455927052
Unknown|10:48902056_MUT	0.23392082223794552		0.0016231952631613534	0.3434650455927052
CYP2S1_MUT	0.23392082223497562		0.0016231952631613534	0.3434650455927052
SNX24_MUT	0.23392082223497562		0.0016231952631613534	0.3434650455927052
ODF2_MUT	0.23392082223497562		0.0016231952631613534	0.3434650455927052
C1orf144_MUT	0.233920822234543		0.0016231952631613534	0.3434650455927052
PGRMC2_MUT	0.23392082223112745		0.0016889116705767928	0.3434650455927052
FGFR2_AMP	0.2339208222301635		0.0016889116705767928	0.3434650455927052
ATE1_AMP	0.2339208222301635		0.0016889116705767928	0.3434650455927052
HOOK3_MUT	0.23392082222415225		0.0017217698742845126	0.3434650455927052
VAX2_MUT	0.23392082222415225		0.0017217698742845126	0.3434650455927052
TCEA2_MUT	0.23392082222331195		0.0017217698742845126	0.3434650455927052
LINC00534_DEL	0.23392082222319735		0.0017217698742845126	0.3434650455927052
BEAN1_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
KCTD19_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
ZFP90_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
PLEKHG4_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
FAM96B_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
RLTPR_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
NRN1L_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
C16orf48_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
NIP7_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
CMTM2_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
TMED6_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
NOL3_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
PDP2_AMP	0.23392082222266744		0.0017217698742845126	0.3434650455927052
